id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục (resolution) và phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the information provided in Chunk 1 regarding the SLA for ticket P1, including the initial response time and resolution time.",5,"Trả lời trực tiếp và đầy đủ câu hỏi về SLA xử lý ticket P1, cung cấp thông tin cụ thể về thời gian khắc phục và phản hồi ban đầu.",5,Retrieved: 1/1 expected sources,5,"The AI-generated answer includes all key points from the expected answer, stating both the initial response time of 15 minutes and the resolution time of 4 hours clearly and accurately.",variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically stating that customers can request a refund within 7 working days from the order confirmation, which is consistent with the details in Chunk 1 and Chunk 3.",5,Trả lời trực tiếp và đầy đủ câu hỏi về thời gian khách hàng có thể yêu cầu hoàn tiền.,5,Retrieved: 1/1 expected sources,5,"The AI-generated answer is complete and matches the expected answer perfectly, including all key points without any omissions.",variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirement for Level 3 access approval as stated in Chunk 2, which specifies that approval is needed from the Line Manager, IT Admin, and IT Security.",5,"Trả lời trực tiếp và đầy đủ câu hỏi về việc phê duyệt để cấp quyền Level 3, liệt kê rõ các bên cần phê duyệt.",5,Retrieved: 1/1 expected sources,5,"The AI-generated answer includes all key points from the expected answer, specifically mentioning the need for approval from Line Manager, IT Admin, and IT Security for Level 3 access.",variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are generally non-refundable, but it implies that they can be refunded if there is a manufacturer defect, which is true according to the context. However, it does not explicitly mention the requirement of submitting the refund request within 7 days, which is a crucial detail from the context.",5,"Trả lời trực tiếp và đầy đủ câu hỏi về việc hoàn tiền cho sản phẩm kỹ thuật số, nêu rõ điều kiện ngoại lệ.",5,Retrieved: 1/1 expected sources,3,"The AI-generated answer states that digital products are generally non-refundable but introduces an exception for manufacturer errors, which is not mentioned in the expected answer. It lacks the clear statement that digital products are an exception to the refund policy and does not specify the types of digital products that are included.",variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is completely grounded in the provided context, accurately reflecting the information about account lockout after 5 failed login attempts and the options for unlocking.",5,"Trả lời trực tiếp và đầy đủ câu hỏi về số lần đăng nhập sai dẫn đến việc khóa tài khoản, đồng thời cung cấp thông tin về cách mở khóa tài khoản.",5,Retrieved: 1/1 expected sources,5,"The AI-generated answer includes all key points from the expected answer, stating that the account is locked after 5 consecutive failed login attempts and provides additional information on how to unlock the account.",variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Ngoài ra, trong trường hợp cần cấp quyền tạm thời để khắc phục sự cố, On-call IT Admin có thể cấp quyền này (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the information provided in the retrieved chunks regarding the escalation process for P1 incidents and the temporary permission granting process by the On-call IT Admin, including the conditions and time limits.",5,"Trả lời trực tiếp và đầy đủ câu hỏi về quy trình escalation trong sự cố P1, bao gồm thời gian phản hồi và quy trình cấp quyền tạm thời.",5,Retrieved: 1/1 expected sources,4,"The AI-generated answer includes all key points from the expected answer regarding the automatic escalation of the P1 ticket to a Senior Engineer after 10 minutes without response. However, it adds additional relevant information about temporary permissions and the role of the On-call IT Admin, which, while informative, is not part of the expected answer. Therefore, it is rated a 4 for completeness.",variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu trước đây có tên ""Approval Matrix for System Access"" [2].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the information from Chunk 2, stating that the Approval Matrix for system access was previously named 'Approval Matrix for System Access', which is consistent with the retrieved context.",4,"The answer correctly identifies the Approval Matrix as a document related to system access, but it could provide more context or details about its purpose or content.",5,Retrieved: 1/1 expected sources,3,"The AI-generated answer provides some relevant information about the previous name of the document but fails to mention its current name and the specific file name, which are important details in the expected answer.",variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi qua probation period, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information provided in Chunk 1 regarding remote work conditions for employees after the probation period.,5,"Trả lời trực tiếp và đầy đủ câu hỏi về số ngày làm remote tối đa mỗi tuần, đồng thời cung cấp thông tin bổ sung về quy trình phê duyệt.",5,Retrieved: 1/1 expected sources,5,"The AI-generated answer includes all key points from the expected answer, such as the maximum number of remote days (2 days/week), the condition of completing the probation period, and the requirement for approval from the Team Lead. Additionally, it specifies the approval process through the HR Portal, which adds clarity without detracting from the original content.",variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,The answer 'Tôi không biết' does not provide any information related to the retrieved contexts and does not address any specific question or topic from the chunks.,1,"The answer 'Tôi không biết.' does not provide any information regarding the ERR-403-AUTH error or how to handle it, making it completely irrelevant to the user's query.",,No expected sources,1,"The AI-generated answer does not provide any relevant information regarding the ERR-403-AUTH error, missing all key points from the expected answer.",variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin cụ thể nào trong bối cảnh về quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",2,"The answer states that there is no specific information about the emergency refund process for VIP customers, which is not entirely accurate. While the retrieved chunks do not explicitly mention a separate process for VIP customers, they do provide general conditions for refunds and exceptions. Therefore, the answer lacks completeness and misrepresents the available information.",1,"Câu trả lời không cung cấp thông tin nào liên quan đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP, do đó không đáp ứng được yêu cầu của câu hỏi.",5,Retrieved: 1/1 expected sources,2,"The AI-generated answer lacks key information about the standard refund process and the timeframe for processing refunds, which are crucial to understanding the policy for VIP customers.",variant_hybrid
